X;Y;refX;refY;path;refPath;deltaX;deltaY;deltaX%;deltaY%
707;414;701;415;778;972;6;1;0;0
707;414;698;407;778;981;9;7;1;1
707;414;698;407;778;981;9;7;1;1
707;414;698;407;778;981;9;7;1;1
707;414;698;407;778;981;9;7;1;1
707;414;698;407;778;981;9;7;1;1
707;414;698;407;778;981;9;7;1;1
707;414;698;407;778;981;9;7;1;1
707;414;698;407;778;981;9;7;1;1
707;414;698;407;778;981;9;7;1;1
707;414;698;407;778;981;9;7;1;1
707;414;698;407;778;981;9;7;1;1
707;414;698;407;778;981;9;7;1;1
707;414;698;407;778;981;9;7;1;1
707;414;698;407;778;981;9;7;1;1
707;414;698;407;778;981;9;7;1;1
707;414;696;403;778;985;11;11;1;1
707;414;696;403;778;985;11;11;1;1
707;414;696;403;778;985;11;11;1;1
707;414;696;403;778;985;11;11;1;1
707;414;696;403;778;985;11;11;1;1
707;414;696;403;778;985;11;11;1;1
707;414;696;403;778;985;11;11;1;1
707;414;696;403;778;985;11;11;1;1
707;414;696;403;778;985;11;11;1;1
707;414;696;403;778;985;11;11;1;1
707;414;696;403;778;985;11;11;1;1
707;414;696;403;778;985;11;11;1;1
707;414;696;403;778;985;11;11;1;1
707;414;696;403;778;985;11;11;1;1
707;414;696;403;778;985;11;11;1;1
707;414;693;419;778;1001;14;5;1;0
707;414;693;419;778;1001;14;5;1;0
707;414;693;419;778;1001;14;5;1;0
707;414;693;419;778;1001;14;5;1;0
707;414;693;419;778;1001;14;5;1;0
707;414;693;419;778;1001;14;5;1;0
707;414;693;419;778;1001;14;5;1;0
707;414;693;419;778;1001;14;5;1;0
707;414;693;419;778;1001;14;5;1;0
707;414;693;419;778;1001;14;5;1;0
707;414;693;421;778;1003;14;7;1;1
707;414;693;421;778;1003;14;7;1;1
707;414;693;421;778;1003;14;7;1;1
707;414;693;421;778;1003;14;7;1;1
707;414;693;421;778;1003;14;7;1;1
707;414;693;421;778;1003;14;7;1;1
707;414;693;421;778;1003;14;7;1;1
707;414;693;421;778;1003;14;7;1;1
707;414;693;421;778;1003;14;7;1;1
707;414;693;421;778;1003;14;7;1;1
707;414;693;421;778;1003;14;7;1;1
707;414;693;421;778;1003;14;7;1;1
707;414;693;421;778;1003;14;7;1;1
707;414;693;421;778;1003;14;7;1;1
707;414;693;421;778;1003;14;7;1;1
707;414;693;421;778;1003;14;7;1;1
707;414;693;421;778;1003;14;7;1;1
707;414;693;421;778;1003;14;7;1;1
707;414;693;421;778;1003;14;7;1;1
707;414;693;421;778;1003;14;7;1;1
707;414;693;415;778;1009;14;1;1;0
707;414;693;415;778;1009;14;1;1;0
707;414;693;415;778;1009;14;1;1;0
707;414;693;415;778;1009;14;1;1;0
707;414;693;415;778;1009;14;1;1;0
707;414;693;423;778;1017;14;9;1;1
707;414;693;423;778;1017;14;9;1;1
707;414;693;423;778;1017;14;9;1;1
707;414;693;423;778;1017;14;9;1;1
707;414;693;423;778;1017;14;9;1;1
707;414;693;423;778;1017;14;9;1;1
707;414;693;423;778;1017;14;9;1;1
707;414;693;423;778;1017;14;9;1;1
707;414;693;423;778;1017;14;9;1;1
707;414;693;423;778;1017;14;9;1;1
707;414;693;423;778;1017;14;9;1;1
707;414;693;423;778;1017;14;9;1;1
707;414;693;423;778;1017;14;9;1;1
707;414;693;423;778;1017;14;9;1;1
707;414;693;423;778;1017;14;9;1;1
707;414;707;420;778;1031;0;6;0;1
707;414;707;420;778;1031;0;6;0;1
707;414;707;420;778;1031;0;6;0;1
707;414;707;420;778;1031;0;6;0;1
707;414;707;420;778;1031;0;6;0;1
707;414;707;420;778;1031;0;6;0;1
707;414;707;420;778;1031;0;6;0;1
707;414;707;420;778;1031;0;6;0;1
707;414;707;420;778;1031;0;6;0;1
707;414;707;420;778;1031;0;6;0;1
707;414;707;420;778;1031;0;6;0;1
707;414;707;420;778;1031;0;6;0;1
707;414;707;420;778;1031;0;6;0;1
707;414;707;420;778;1031;0;6;0;1
707;414;707;420;778;1031;0;6;0;1
707;414;702;420;778;1036;5;6;0;1
707;414;702;420;778;1036;5;6;0;1
707;414;702;420;778;1036;5;6;0;1
707;414;702;420;778;1036;5;6;0;1
707;414;702;420;778;1036;5;6;0;1
707;414;702;420;778;1036;5;6;0;1
707;414;702;420;778;1036;5;6;0;1
707;414;702;420;778;1036;5;6;0;1
707;414;702;420;778;1036;5;6;0;1
707;414;702;420;778;1036;5;6;0;1
707;414;691;420;778;1047;16;6;2;1
707;414;691;420;778;1047;16;6;2;1
707;414;691;420;778;1047;16;6;2;1
707;414;691;420;778;1047;16;6;2;1
707;414;691;420;778;1047;16;6;2;1
707;414;691;420;778;1047;16;6;2;1
707;414;691;420;778;1047;16;6;2;1
707;414;691;420;778;1047;16;6;2;1
707;414;691;420;778;1047;16;6;2;1
707;414;691;420;778;1047;16;6;2;1
707;414;691;420;778;1047;16;6;2;1
707;414;691;420;778;1047;16;6;2;1
707;414;691;420;778;1047;16;6;2;1
707;414;691;420;778;1047;16;6;2;1
707;414;691;420;778;1047;16;6;2;1
707;414;691;420;778;1047;16;6;2;1
707;414;691;420;778;1047;16;6;2;1
707;414;691;420;778;1047;16;6;2;1
707;414;691;420;778;1047;16;6;2;1
707;414;691;420;778;1047;16;6;2;1
707;414;691;420;778;1047;16;6;2;1
707;414;691;420;778;1047;16;6;2;1
707;414;691;420;778;1047;16;6;2;1
707;414;691;420;778;1047;16;6;2;1
707;414;691;420;778;1047;16;6;2;1
707;414;691;412;778;1055;16;2;2;0
707;414;691;412;778;1055;16;2;2;0
707;414;691;412;778;1055;16;2;2;0
707;414;691;412;778;1055;16;2;2;0
707;414;691;412;778;1055;16;2;2;0
707;414;691;409;778;1058;16;5;2;0
707;414;691;409;778;1058;16;5;2;0
707;414;691;409;778;1058;16;5;2;0
707;414;691;409;778;1058;16;5;2;0
707;414;691;409;778;1058;16;5;2;0
707;414;691;409;778;1058;16;5;2;0
707;414;691;409;778;1058;16;5;2;0
707;414;691;409;778;1058;16;5;2;0
707;414;691;409;778;1058;16;5;2;0
707;414;691;409;778;1058;16;5;2;0
707;414;691;409;778;1058;16;5;2;0
707;414;691;409;778;1058;16;5;2;0
707;414;691;409;778;1058;16;5;2;0
707;414;691;409;778;1058;16;5;2;0
707;414;691;409;778;1058;16;5;2;0
707;414;691;421;778;1070;16;7;2;1
707;414;691;421;778;1070;16;7;2;1
707;414;691;421;778;1070;16;7;2;1
707;414;691;421;778;1070;16;7;2;1
707;414;691;421;778;1070;16;7;2;1
707;414;691;421;778;1070;16;7;2;1
707;414;691;421;778;1070;16;7;2;1
707;414;691;421;778;1070;16;7;2;1
707;414;691;421;778;1070;16;7;2;1
707;414;691;421;778;1070;16;7;2;1
707;414;691;421;778;1070;16;7;2;1
707;414;691;421;778;1070;16;7;2;1
707;414;691;421;778;1070;16;7;2;1
707;414;691;421;778;1070;16;7;2;1
707;414;691;421;778;1070;16;7;2;1
707;414;691;421;778;1070;16;7;2;1
707;414;691;421;778;1070;16;7;2;1
707;414;691;421;778;1070;16;7;2;1
707;414;691;421;778;1070;16;7;2;1
707;414;691;421;778;1070;16;7;2;1
707;414;691;421;778;1070;16;7;2;1
707;414;691;421;778;1070;16;7;2;1
707;414;691;421;778;1070;16;7;2;1
707;414;691;421;778;1070;16;7;2;1
707;414;691;421;778;1070;16;7;2;1
707;414;691;421;778;1070;16;7;2;1
707;414;691;421;778;1070;16;7;2;1
707;414;691;421;778;1070;16;7;2;1
707;414;691;421;778;1070;16;7;2;1
707;414;691;421;778;1070;16;7;2;1
707;414;691;421;778;1070;16;7;2;1
707;414;691;421;778;1070;16;7;2;1
707;414;691;421;778;1070;16;7;2;1
707;414;691;421;778;1070;16;7;2;1
707;414;691;421;778;1070;16;7;2;1
707;414;691;421;778;1070;16;7;2;1
707;414;691;421;778;1070;16;7;2;1
